number,priority,short_description,severity,sys_created_on,incident_state,u_requested_by.location,u_requested_by.u_region,u_requested_by.u_country_details.name,u_requested_by.location.name,u_requested_by.city
INC4167799,2 - High,\GMSGQEHS-MOC-LAMBDA-JOBS\030-LAKE-LAMBDA-MOC-CAPA\\030-RUN-LAKE-LAMBDA-GMSGQEHS-MOC-CAPA has failed,3 - Low,3/18/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4167800,2 - High,\GMSGQEHS-RISK-LAMBDA-JOBS\030-LAKE-LAMBDA-RISK-CONTROLS\\030-RUN-LAKE-LAMBDA-GMSGQEHS-RISK-CONTROLS has failed,3 - Low,3/18/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4167804,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-SHIRE-STABILITY\\030-RUN-LAKE-LAMBDA-CMO-SHIRE-STABILITY has failed,3 - Low,3/18/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4167805,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-TAKEDA-PRIMR\\030-RUN-LAKE-LAMBDA-CMO-TAKEDA-PRIMR has failed,3 - Low,3/18/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4167806,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-TAKEDA-STABILITY\\030-RUN-LAKE-LAMBDA-CMO-TAKEDA-STABILITY has failed,3 - Low,3/18/2026 9:39,Resolved,,AMERICAS,United States of America,,
INC4167808,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-SHIRE-SAP\\030-RUN-LAKE-LAMBDA-CMO-SHIRE-SAP has failed,3 - Low,3/18/2026 9:40,Resolved,,AMERICAS,United States of America,,
INC4167814,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/18/2026 9:43,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167816,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/18/2026 9:45,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167823,2 - High,\GMSGQMI-CMO-LAMBDA-PREPROCESS\\010-CONTRACT-LAMBDA-CMO-PREPROCESS has failed,3 - Low,3/18/2026 9:50,Resolved,,AMERICAS,United States of America,,
INC4167849,2 - High,DIS - EOD - All donors not processed ,3 - Low,3/18/2026 10:13,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167852,2 - High,DIS - EOD - Plasma type update,3 - Low,3/18/2026 10:15,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167863,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/18/2026 10:26,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167910,2 - High,\GMSGQMI-CMO\\040-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-STABILITY-CHANGE-LOG-GLBL has failed,3 - Low,3/18/2026 11:06,Resolved,,AMERICAS,United States of America,,
INC4167911,2 - High,\NEW-COPY-OF-CRMD-VVA-REP-LICENSE-REPORT\02-STG-VVA-LICENSE-REPORT\\010-tf_VVA_STG_VVA_REP_LICENSE_REPORT has failed,3 - Low,3/18/2026 11:09,Resolved,,AMERICAS,United States of America,,
INC4167929,2 - High,\GMSGQMI-CMO\\040-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-ERP-CHANGE-LOG-GLBL has failed,3 - Low,3/18/2026 11:36,Resolved,,AMERICAS,United States of America,,
INC4167956,2 - High,Network Node wBUSAGS01w001.onetakeda.com is Down,3 - Low,3/18/2026 12:14,New,,,,,
INC4167976,2 - High,\GMSGQMI-GLIMS-CONNECTION\\010-GMSGQMI-GLIMS-CONNECTION-TEST has failed,3 - Low,3/18/2026 12:35,Resolved,,AMERICAS,United States of America,,
INC4167981,2 - High,\PDT_SP_DATA_JOBS\PDT_SP_DATA_STATUS_WORKFLOW\\MONITOR_DATABRICKS_JOB has failed,3 - Low,3/18/2026 12:37,Resolved,,AMERICAS,United States of America,,
INC4168016,2 - High,\GMSGQMI-CMO\\050-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-LIMS-DATA-GLBL has failed,3 - Low,3/18/2026 13:03,Resolved,,AMERICAS,United States of America,,
INC4168026,2 - High,\GMSGQMI-CMO\\050-BDM-WF-GMSGQMI-CMO-LAKE-TO-LAKE-TXN-CMO-ERP-DATA-GLBL has failed,3 - Low,3/18/2026 13:14,Resolved,,AMERICAS,United States of America,,
INC4168044,2 - High,\GMSGQMI-MAXIMO\\010-IICS-TF-GMSGQMI-MAXIMO-SRC-TO-RAW-INCR has failed,3 - Low,3/18/2026 13:31,Resolved,,AMERICAS,United States of America,,
INC4168045,2 - High,\GMSGQMI-MAXIMO\\010-IICS-TF-GMSGQMI-MAXIMO-SRC-TO-RAW-1 has failed,3 - Low,3/18/2026 13:31,Resolved,,AMERICAS,United States of America,,
INC4168047,2 - High,\GMSGQMI-MAXIMO\\010-IICS-TF-GMSGQMI-MAXIMO-SRC-TO-RAW-2 has failed,3 - Low,3/18/2026 13:31,Resolved,,AMERICAS,United States of America,,
INC4168087,2 - High,\NEW-COPY-OF-HRIS3W:WORKDAY-TO-FIDELITY\\005-TDL_TED_RMV-FIDELITY-GS has failed,3 - Low,3/18/2026 14:10,Resolved,,AMERICAS,United States of America,,
INC4168105,2 - High,\GMSGQ-MAF-RAW-LAKE-STREAMING-CALLBACK-JOB-2\\010-SHOW-DATABRICKS-JOB-STATUS has failed,3 - Low,3/18/2026 14:20,Resolved,,AMERICAS,United States of America,,
INC4168106,2 - High,\GMSGQ-MAF-RAW-LAKE-STREAMING-CALLBACK-JOB\\010-SHOW-DATABRICKS-JOB-STATUS has failed,3 - Low,3/18/2026 14:20,Resolved,,AMERICAS,United States of America,,
INC4168162,2 - High,DIS - Lab imports issue ,3 - Low,3/18/2026 14:57,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168263,2 - High,\WORKDAY-TO-JPN-EMPLOYEE-MUTUAL-AID\\005-DELETE-EXISTING-FILE-JPN-EMPLOYEE-MUTUAL-AID has failed,3 - Low,3/18/2026 16:15,Resolved,,AMERICAS,United States of America,,
INC4168352,2 - High,\REDESIGNED_JPN_COMM_DWH\25-SAPBPR_DATA_FACTS_DL_TO_DWH\253-PRIMARY_SALES_DWH\2533-PRIMARY_SALES_FIX\\010-TF_JPN_SAP_BPR_DL_TO_DWH_DWF_COM_PRI_SLS_FIX has faile,3 - Low,3/18/2026 17:30,Resolved,,AMERICAS,United States of America,,
INC4168373,2 - High,DIS - App issue,3 - Low,3/18/2026 17:47,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168397,2 - High,\FIND-CITI-STATEMENT-US-BPRI-RSA\\050-FILE-FROM-SFPC99-TO-GLOBALSCAPE-TO-BLACKLINE has failed,3 - Low,3/18/2026 18:06,Resolved,,AMERICAS,United States of America,,
INC4168407,2 - High,DIS - Unable to save measurements,3 - Low,3/18/2026 18:11,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168424,2 - High,DIS - DXT - Nomogram update ,3 - Low,3/18/2026 18:33,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168499,2 - High,DIS - DXT - Arm/Machine Update,3 - Low,3/18/2026 19:33,Resolved,USA - TX - Universal City,AMERICAS,United States of America,USA - TX - Universal City,Universal City
INC4168533,2 - High,DIS - HAE - Plasma type update,3 - Low,3/18/2026 19:51,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168542,2 - High,DIS - HAE - Arm/Machine Update,3 - Low,3/18/2026 19:58,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168569,2 - High,DIS - DXT - Plasma type update,3 - Low,3/18/2026 20:12,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168586,2 - High,DIS EDQ - ISSUE,3 - Low,3/18/2026 20:19,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168591,2 - High,DIS - DXT - Plasma type update,3 - Low,3/18/2026 20:23,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168622,2 - High,\MDG_NON_FI_IDOC_POST_MDG_1909\\010-CALL_RBDAPP01_MDG_MDG_1909 has failed,3 - Low,3/18/2026 20:38,Resolved,,AMERICAS,United States of America,,
INC4168630,2 - High,DIS - DXT - Disconnect pin,3 - Low,3/18/2026 20:48,Resolved,USA - WI - Milwaukee,AMERICAS,United States of America,USA - WI - Milwaukee,Milwaukee
INC4168686,2 - High,DIS - DXT - Plasma type update,3 - Low,3/18/2026 21:28,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168688,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\MC_ACTIVITY_INTERFACE_MEDPEER_MMI_LOG_1_AM_JST\SFTP_MEDPEER_MMI_LOG_GS_IICS\\020-SFTP_GET_GS_TO_IICS_MMI2_CLICK_LOG_0100 has failed,3 - Low,3/18/2026 21:31,Resolved,,AMERICAS,United States of America,,
INC4168689,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\HOKUTO\\030-FF_LDG_HOKUTO has failed,3 - Low,3/18/2026 21:31,Resolved,,AMERICAS,United States of America,,
INC4168694,2 - High,DIS - Donor Entry issue,3 - Low,3/18/2026 21:38,Resolved,USA - FL - Pensacola,AMERICAS,United States of America,USA - FL - Pensacola,Pensacola
INC4168709,2 - High,DIS - DXT - Plasma type update,3 - Low,3/18/2026 21:44,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168715,2 - High,\NEW-COPY-OF-CRMD-MULTICHANNEL_ACCNT_MERGE_ENC\01-VVA-TO-STG-MULTICHANNEL_DATA\\020-T_VVA_STG_ACCNT_VEEVA_REP has failed,3 - Low,3/18/2026 21:51,Resolved,,AMERICAS,United States of America,,
INC4168719,2 - High,DIS - HAE - Arm/Machine Update,3 - Low,3/18/2026 21:52,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168728,2 - High,DIS - DXT - Arm/Machine Update,3 - Low,3/18/2026 21:59,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168729,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\MULTICHANNEL_ACTIVITY_INTERFACE_NEW_TMS\SFTP_TMS_GS_IICS\\030-TMS_SFTP_FILES_NEW has failed,3 - Low,3/18/2026 22:00,Resolved,,AMERICAS,United States of America,,
INC4168731,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\MC_ACTIVITY_INTERFACE_MEDPEER_MMI_LOG_1_AM_JST\SFTP_MEDPEER_MMI_LOG_GS_IICS\\040-RENAME-SRC-FILES-MEDPEER-MMI-0100 has failed,3 - Low,3/18/2026 22:01,Resolved,,AMERICAS,United States of America,,
INC4168733,2 - High,DIS - BOL Issue,3 - Low,3/18/2026 22:04,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168744,2 - High,<OTHER>\TIDAL-CHECK-US-API-EVERY-30-MIN\\010-GET-DATA-FROM-API has failed,3 - Low,3/18/2026 22:10,Resolved,,AMERICAS,United States of America,,
INC4168759,2 - High,DIS - Arm/Machine Update,3 - Low,3/18/2026 22:19,Resolved,USA - IL - Bolingbrook,AMERICAS,United States of America,USA - IL - Bolingbrook,Bolingbrook
INC4168777,2 - High,\NEW-COPY-OF-CRM_TAKEDA-ACNT_PRD_RESTRICT_EXCEPTION\01-VVA-TO-STG:ACCNT_PROD_RESTRICT_REP-IB\\010-t_VVA_STG_ACCNT_VEEVA_REP has failed,3 - Low,3/18/2026 22:30,Resolved,,AMERICAS,United States of America,,
INC4168792,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\YONYAKU\\020-LIST_AWS_SRC_YONYAKU_FILES has failed,3 - Low,3/18/2026 22:35,Resolved,,AMERICAS,United States of America,,
INC4168799,2 - High,\VEEVA_JAPAN\MSTR_JAPAN\29-PBI_DATASET_REFRESH\PD058_01_PBI_REFRESH_SUCCESS_CALLBACK\\010-TIDAL-SCAN-STATUS-OF-POWERBI-JOB has failed,3 - Low,3/18/2026 22:39,Resolved,,AMERICAS,United States of America,,
INC4168800,2 - High,\VEEVA_JAPAN\VEEVA_UPLOAD\YONYAKU\\030-FF_LDG_YONYAKU has failed,3 - Low,3/18/2026 22:40,Resolved,,AMERICAS,United States of America,,
INC4168864,2 - High,DIS - HAE - Arm/Machine Update,3 - Low,3/18/2026 23:29,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168878,2 - High,DIS - HAE - Plasma type update,3 - Low,3/18/2026 23:43,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168891,2 - High,Donor Reaction - Needs to be removed on the system,3 - Low,3/18/2026 23:52,Resolved,USA - FL - Daytona Beach,AMERICAS,United States of America,USA - FL - Daytona Beach,Daytona Beach
INC4168906,2 - High,\COM-CDP-CRM-LAKE-TO-LAKE-DELTA\\090-CDP_CRM-LAKE-TO-LAKE-SMILE-KOL-STAKEHOLDER-STG has failed,3 - Low,3/19/2026 0:07,Resolved,,AMERICAS,United States of America,,
INC4168917,2 - High,DIS - Remove Box from BOL,3 - Low,3/19/2026 0:22,Resolved,USA - MD - Towson,AMERICAS,United States of America,USA - MD - Towson,Towson
INC4168923,2 - High,DIS - HAE - Plasma type update,3 - Low,3/19/2026 0:25,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168949,2 - High,DIS - Unable to save Arm ,3 - Low,3/19/2026 0:42,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168974,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 1:13,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168984,2 - High,DIS - HAE - Arm/Machine Update,3 - Low,3/19/2026 1:23,Resolved,USA - MO - Saint Peters,AMERICAS,United States of America,USA - MO - Saint Peters,St Peters
INC4168986,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 1:24,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4168987,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 1:25,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169008,2 - High,DIS - HAE - Volumes update,3 - Low,3/19/2026 1:45,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169014,2 - High,DIS - HAE - Plasma type update ,3 - Low,3/19/2026 1:50,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169023,2 - High,DIS - DXT - Reprocess unit,3 - Low,3/19/2026 1:56,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169049,2 - High,DIS - HAE - Arm/Machine Update,3 - Low,3/19/2026 2:19,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169054,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 2:25,Resolved,USA - IA - West Des Moines,AMERICAS,United States of America,USA - IA - West Des Moines,West Des Moines
INC4169058,2 - High,\GMSGQMI-TECHMASS-ORDER-BOTTLENECK-RI\\010-IICS-TF-GMSGQMI-TECHMASS-ORDER-BOTTLENECK-RI-ALL-INCR-SRC-TO-RAW has failed,3 - Low,3/19/2026 2:32,Resolved,,AMERICAS,United States of America,,
INC4169065,2 - High,DIS - Exception update,3 - Low,3/19/2026 2:40,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169067,2 - High,DIS - HAE - Volumes update ,3 - Low,3/19/2026 2:43,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169071,2 - High,DIS - DXT - Volumes update,3 - Low,3/19/2026 2:50,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169085,2 - High,DIS - Remove Box from BOL ,3 - Low,3/19/2026 3:01,Resolved,USA - WI - Sheboygan,AMERICAS,United States of America,USA - WI - Sheboygan,Sheboygan
INC4169091,2 - High,DIS - DXT - Volumes update ,3 - Low,3/19/2026 3:08,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169104,2 - High,DIS - EDQ Issue,3 - Low,3/19/2026 3:39,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169120,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 4:04,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169124,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 4:11,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169125,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 4:11,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169131,2 - High,DIS - HAE - Plasma type update ,3 - Low,3/19/2026 4:26,Resolved,USA - TX - Pearland,AMERICAS,United States of America,USA - TX - Pearland,Pearland
INC4169136,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 4:33,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169146,2 - High,\GMSGQEHS-EVENT-DATE-DETAILS-GLOBALSCAPE-PUSH\\0101-EVENT-DATE-DETAILS-GLOBALSCAPE-PUSH has failed,3 - Low,3/19/2026 4:45,Resolved,,AMERICAS,United States of America,,
INC4169147,2 - High,\GMSGQEHS-CAPA-DATE-DETAILS-GLOBALSCAPE-PUSH\\0101-CAPA-DATE-DETAILS-GLOBALSCAPE-PUSH has failed,3 - Low,3/19/2026 4:45,Resolved,,AMERICAS,United States of America,,
INC4169148,2 - High,DIS - Deferral Issue,3 - Low,3/19/2026 4:48,Resolved,USA - CO - Longmont,AMERICAS,United States of America,USA - CO - Longmont,Longmont
INC4169160,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 5:01,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169181,2 - High,DIS - HAE - Plasma type update,3 - Low,3/19/2026 5:30,Resolved,USA - CO - Loveland,AMERICAS,United States of America,USA - CO - Loveland,Loveland
INC4169215,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 5:50,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169221,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 5:54,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169223,2 - High,DIS - HAE - Volumes update ,3 - Low,3/19/2026 5:59,Resolved,USA - CO - Thornton,AMERICAS,United States of America,USA - CO - Thornton,Thornton
INC4169226,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 6:01,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169227,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 6:02,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169233,2 - High,<OTHER>\TIDAL-CHECK-US-API-EVERY-30-MIN\\010-GET-DATA-FROM-API has failed,3 - Low,3/19/2026 6:07,Resolved,,AMERICAS,United States of America,,
INC4169235,2 - High,DIS - EDQ Issue,3 - Low,3/19/2026 6:08,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169236,2 - High,DIS - DXT - Plasma Type update,3 - Low,3/19/2026 6:10,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169240,2 - High,DIS - HAE - Plasma Type update,3 - Low,3/19/2026 6:13,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169253,2 - High,DIS - DXT - Plasma Type and Volumes update,3 - Low,3/19/2026 6:26,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169254,2 - High,DIS - DXT - Plasma type update ,3 - Low,3/19/2026 6:28,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169257,2 - High,DIS - DXT - Plasma type update,3 - Low,3/19/2026 6:31,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169276,2 - High,DIS - HAE - Volumes update ,3 - Low,3/19/2026 6:42,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4169278,2 - High,\FIND:IDOC-SERIALIZATION_BPR\\010-Z_FIN_IDOC_SERIALIZATION has failed,3 - Low,3/19/2026 6:46,Resolved,,AMERICAS,United States of America,,
